ts:2026-02-06T17:30:26+01:00 t:10.35 h:87 b:2.387
ts:2026-02-06T18:00:28+01:00 t:10.37 h:87 b:2.387
ts:2026-02-06T18:30:27+01:00 t:10.34 h:86 b:2.387
ts:2026-02-06T19:00:29+01:00 t:10.36 h:86 b:2.387
ts:2026-02-06T19:30:26+01:00 t:10.34 h:86 b:2.400
ts:2026-02-06T20:00:32+01:00 t:10.33 h:86 b:2.400
ts:2026-02-06T20:30:28+01:00 t:10.33 h:86 b:2.386
ts:2026-02-06T21:00:31+01:00 t:10.34 h:86 b:2.386
ts:2026-02-06T22:00:29+01:00 t:10.35 h:86 b:2.423
ts:2026-02-06T22:30:31+01:00 t:10.34 h:86 b:2.479
ts:2026-02-06T23:00:32+01:00 t:10.36 h:86 b:2.479
ts:2026-02-06T23:30:27+01:00 t:10.32 h:86 b:2.442
ts:2026-02-07T00:00:26+01:00 t:10.30 h:87 b:2.442
ts:2026-02-07T00:30:28+01:00 t:10.30 h:87 b:2.430
ts:2026-02-07T01:00:28+01:00 t:10.29 h:86 b:2.430
ts:2026-02-07T01:30:31+01:00 t:10.31 h:87 b:2.419
ts:2026-02-07T02:00:30+01:00 t:10.32 h:87 b:2.419
ts:2026-02-07T02:30:32+01:00 t:10.30 h:87 b:2.429
ts:2026-02-07T03:00:32+01:00 t:10.31 h:87 b:2.429
ts:2026-02-07T03:30:26+01:00 t:10.28 h:87 b:2.448
ts:2026-02-07T04:00:26+01:00 t:10.29 h:87 b:2.448
ts:2026-02-07T04:30:28+01:00 t:10.29 h:87 b:2.411
ts:2026-02-07T05:00:28+01:00 t:10.29 h:87 b:2.411
ts:2026-02-07T05:30:29+01:00 t:10.30 h:87 b:2.407
ts:2026-02-07T06:00:29+01:00 t:10.28 h:87 b:2.407
ts:2026-02-07T06:30:31+01:00 t:10.31 h:87 b:2.407
ts:2026-02-07T07:00:31+01:00 t:10.29 h:87 b:2.403
ts:2026-02-07T07:30:28+01:00 t:10.28 h:87 b:2.403
ts:2026-02-07T08:00:27+01:00 t:10.29 h:87 b:2.403
ts:2026-02-07T08:30:26+01:00 t:10.29 h:87 b:2.403
ts:2026-02-07T09:00:32+01:00 t:10.29 h:87 b:2.400
ts:2026-02-07T10:00:30+01:00 t:10.35 h:87 b:2.452
ts:2026-02-07T10:30:27+01:00 t:10.30 h:87 b:2.452
ts:2026-02-07T11:00:27+01:00 t:10.28 h:87 b:2.462
ts:2026-02-07T11:30:32+01:00 t:10.30 h:87 b:2.462
ts:2026-02-07T12:00:27+01:00 t:10.31 h:87 b:2.433
ts:2026-02-07T12:30:32+01:00 t:10.29 h:87 b:2.433
ts:2026-02-07T13:00:30+01:00 t:10.32 h:87 b:2.437
ts:2026-02-07T13:30:28+01:00 t:10.33 h:87 b:2.437
ts:2026-02-07T14:00:30+01:00 t:10.33 h:87 b:2.431
ts:2026-02-07T14:30:28+01:00 t:10.37 h:88 b:2.431
ts:2026-02-07T15:00:32+01:00 t:10.43 h:88 b:2.417
ts:2026-02-07T15:30:26+01:00 t:10.46 h:89 b:2.417
ts:2026-02-07T16:00:31+01:00 t:10.50 h:89 b:2.415
ts:2026-02-07T16:30:33+01:00 t:10.55 h:89 b:2.415
ts:2026-02-07T17:00:31+01:00 t:10.57 h:89 b:2.448
ts:2026-02-07T17:30:31+01:00 t:10.54 h:89 b:2.448
ts:2026-02-07T18:00:29+01:00 t:10.55 h:88 b:2.411
ts:2026-02-07T18:30:28+01:00 t:10.56 h:88 b:2.411
ts:2026-02-07T19:00:28+01:00 t:10.54 h:88 b:2.410
ts:2026-02-07T19:30:28+01:00 t:10.53 h:88 b:2.410
ts:2026-02-07T20:00:32+01:00 t:10.56 h:88 b:2.406
ts:2026-02-07T20:30:32+01:00 t:10.50 h:88 b:2.406
ts:2026-02-07T21:00:31+01:00 t:10.50 h:88 b:2.407
ts:2026-02-07T21:30:27+01:00 t:10.53 h:88 b:2.407
ts:2026-02-07T22:00:28+01:00 t:10.49 h:88 b:2.418
ts:2026-02-07T22:30:28+01:00 t:10.49 h:88 b:2.418
ts:2026-02-07T23:00:30+01:00 t:10.48 h:88 b:2.403
ts:2026-02-07T23:30:31+01:00 t:10.48 h:88 b:2.403
ts:2026-02-08T00:00:29+01:00 t:10.45 h:88 b:2.414
ts:2026-02-08T00:30:29+01:00 t:10.50 h:88 b:2.414
ts:2026-02-08T01:00:30+01:00 t:10.48 h:88 b:2.398
ts:2026-02-08T01:30:29+01:00 t:10.44 h:88 b:2.398
ts:2026-02-08T02:00:27+01:00 t:10.47 h:88 b:2.395
ts:2026-02-08T02:30:30+01:00 t:10.45 h:88 b:2.395
ts:2026-02-08T03:00:31+01:00 t:10.47 h:88 b:2.395
ts:2026-02-08T03:30:27+01:00 t:10.43 h:88 b:2.395
ts:2026-02-08T04:00:32+01:00 t:10.48 h:88 b:2.431
ts:2026-02-08T04:30:30+01:00 t:10.46 h:88 b:2.431
ts:2026-02-08T05:00:28+01:00 t:10.46 h:88 b:2.407
ts:2026-02-08T05:30:28+01:00 t:10.44 h:88 b:2.407
ts:2026-02-08T06:00:27+01:00 t:10.42 h:88 b:2.393
ts:2026-02-08T06:30:29+01:00 t:10.43 h:88 b:2.393
ts:2026-02-08T07:00:30+01:00 t:10.43 h:88 b:2.393
ts:2026-02-08T07:30:31+01:00 t:10.42 h:88 b:2.390
ts:2026-02-08T08:00:31+01:00 t:10.44 h:88 b:2.390
ts:2026-02-08T08:30:28+01:00 t:10.43 h:88 b:2.390
ts:2026-02-08T09:00:31+01:00 t:10.45 h:88 b:2.390
ts:2026-02-08T09:30:31+01:00 t:10.42 h:88 b:2.399
ts:2026-02-08T10:00:32+01:00 t:10.43 h:88 b:2.399
ts:2026-02-08T10:30:31+01:00 t:10.46 h:88 b:2.385
ts:2026-02-08T11:00:32+01:00 t:10.46 h:88 b:2.385
ts:2026-02-08T11:30:27+01:00 t:10.45 h:88 b:2.387
ts:2026-02-08T12:00:32+01:00 t:10.47 h:88 b:2.387
ts:2026-02-08T12:30:31+01:00 t:10.48 h:88 b:2.423
ts:2026-02-08T13:00:30+01:00 t:10.50 h:88 b:2.423
ts:2026-02-08T13:30:33+01:00 t:10.50 h:88 b:2.386
ts:2026-02-08T14:00:27+01:00 t:10.49 h:88 b:2.386
ts:2026-02-08T14:30:32+01:00 t:10.46 h:88 b:2.384
ts:2026-02-08T15:00:33+01:00 t:10.50 h:88 b:2.384
ts:2026-02-08T15:30:29+01:00 t:10.50 h:88 b:2.399
ts:2026-02-08T16:00:28+01:00 t:10.51 h:88 b:2.399
ts:2026-02-08T16:30:30+01:00 t:10.50 h:88 b:2.386
ts:2026-02-08T17:00:29+01:00 t:10.51 h:88 b:2.386
ts:2026-02-08T17:30:27+01:00 t:10.53 h:88 b:2.385
ts:2026-02-08T18:00:27+01:00 t:10.56 h:89 b:2.385
ts:2026-02-08T18:30:31+01:00 t:10.50 h:88 b:2.386
ts:2026-02-08T19:00:32+01:00 t:10.53 h:88 b:2.386
ts:2026-02-08T19:30:29+01:00 t:10.49 h:88 b:2.419
ts:2026-02-08T20:00:31+01:00 t:10.50 h:88 b:2.419
ts:2026-02-08T20:30:32+01:00 t:10.49 h:88 b:2.385
ts:2026-02-08T21:00:29+01:00 t:10.56 h:89 b:2.385
ts:2026-02-08T21:30:28+01:00 t:10.54 h:89 b:2.385
ts:2026-02-08T22:00:30+01:00 t:10.49 h:89 b:2.385
ts:2026-02-08T22:30:27+01:00 t:10.50 h:89 b:2.385
ts:2026-02-08T23:00:31+01:00 t:10.53 h:89 b:2.385
ts:2026-02-08T23:30:29+01:00 t:10.52 h:89 b:2.384
ts:2026-02-09T00:00:27+01:00 t:10.49 h:89 b:2.384
ts:2026-02-09T00:30:27+01:00 t:10.50 h:89 b:2.383
ts:2026-02-09T01:00:31+01:00 t:10.47 h:89 b:2.383
ts:2026-02-09T01:30:32+01:00 t:10.46 h:89 b:2.382
ts:2026-02-09T02:00:32+01:00 t:10.45 h:89 b:2.382
ts:2026-02-09T02:30:32+01:00 t:10.50 h:89 b:2.384
ts:2026-02-09T03:00:30+01:00 t:10.47 h:89 b:2.384
ts:2026-02-09T03:30:33+01:00 t:10.49 h:89 b:2.386
ts:2026-02-09T04:00:29+01:00 t:10.47 h:89 b:2.386
ts:2026-02-09T04:30:33+01:00 t:10.49 h:89 b:2.385
ts:2026-02-09T05:00:30+01:00 t:10.46 h:89 b:2.385
ts:2026-02-09T05:30:27+01:00 t:10.52 h:89 b:2.387
ts:2026-02-09T06:00:30+01:00 t:10.50 h:89 b:2.387
ts:2026-02-09T06:30:33+01:00 t:10.49 h:89 b:2.385
ts:2026-02-09T07:00:31+01:00 t:10.49 h:89 b:2.385
ts:2026-02-09T07:30:28+01:00 t:10.53 h:89 b:2.385
ts:2026-02-09T08:00:32+01:00 t:10.48 h:89 b:2.385
ts:2026-02-09T08:30:28+01:00 t:10.47 h:89 b:2.387
ts:2026-02-09T09:00:32+01:00 t:10.50 h:89 b:2.387
ts:2026-02-09T09:30:29+01:00 t:10.51 h:89 b:2.387
ts:2026-02-09T10:00:31+01:00 t:10.51 h:89 b:2.383
ts:2026-02-09T10:30:30+01:00 t:10.55 h:89 b:2.383
ts:2026-02-09T11:00:29+01:00 t:10.53 h:89 b:2.383
ts:2026-02-09T11:30:30+01:00 t:10.55 h:89 b:2.383
ts:2026-02-09T12:00:33+01:00 t:10.53 h:89 b:2.419
ts:2026-02-09T12:30:30+01:00 t:10.55 h:89 b:2.419
ts:2026-02-09T13:00:27+01:00 t:10.54 h:89 b:2.395
ts:2026-02-09T13:30:30+01:00 t:10.56 h:89 b:2.395
ts:2026-02-09T14:00:30+01:00 t:10.56 h:89 b:2.421
ts:2026-02-09T14:30:29+01:00 t:10.57 h:89 b:2.421
ts:2026-02-09T15:00:30+01:00 t:10.55 h:89 b:2.383
ts:2026-02-09T15:30:31+01:00 t:10.55 h:89 b:2.383
ts:2026-02-09T16:00:28+01:00 t:10.57 h:89 b:2.380
ts:2026-02-09T16:30:26+01:00 t:10.59 h:89 b:2.380
ts:2026-02-09T17:00:28+01:00 t:10.61 h:89 b:2.383
ts:2026-02-09T17:30:26+01:00 t:10.59 h:89 b:2.383
ts:2026-02-09T18:00:27+01:00 t:10.62 h:89 b:2.382
ts:2026-02-09T18:30:26+01:00 t:10.57 h:89 b:2.382
ts:2026-02-09T19:00:26+01:00 t:10.55 h:89 b:2.380
ts:2026-02-09T19:30:27+01:00 t:10.59 h:89 b:2.380
ts:2026-02-09T20:00:27+01:00 t:10.59 h:89 b:2.382
ts:2026-02-09T20:30:27+01:00 t:10.59 h:89 b:2.382
ts:2026-02-09T21:00:32+01:00 t:10.59 h:89 b:2.383
ts:2026-02-09T21:30:31+01:00 t:10.56 h:89 b:2.383
ts:2026-02-09T22:00:33+01:00 t:10.59 h:89 b:2.380
ts:2026-02-09T22:30:31+01:00 t:10.59 h:89 b:2.380
ts:2026-02-09T23:30:31+01:00 t:10.60 h:89 b:2.383
ts:2026-02-10T00:00:28+01:00 t:10.60 h:89 b:2.460
ts:2026-02-10T00:30:33+01:00 t:10.56 h:89 b:2.460
ts:2026-02-10T01:00:31+01:00 t:10.58 h:89 b:2.442
ts:2026-02-10T01:30:28+01:00 t:10.56 h:89 b:2.442
ts:2026-02-10T02:00:28+01:00 t:10.58 h:89 b:2.432
ts:2026-02-10T02:30:30+01:00 t:10.61 h:89 b:2.432
ts:2026-02-10T03:00:29+01:00 t:10.59 h:89 b:2.425
ts:2026-02-10T03:30:28+01:00 t:10.60 h:89 b:2.425
ts:2026-02-10T04:00:33+01:00 t:10.60 h:89 b:2.444
ts:2026-02-10T04:30:29+01:00 t:10.58 h:89 b:2.444
ts:2026-02-10T05:00:29+01:00 t:10.57 h:89 b:2.402
ts:2026-02-10T05:30:30+01:00 t:10.53 h:89 b:2.402
ts:2026-02-10T06:00:31+01:00 t:10.55 h:89 b:2.402
ts:2026-02-10T06:30:31+01:00 t:10.56 h:89 b:2.402
ts:2026-02-10T07:00:29+01:00 t:10.57 h:89 b:2.400
ts:2026-02-10T07:30:31+01:00 t:10.54 h:89 b:2.400
ts:2026-02-10T08:00:28+01:00 t:10.56 h:89 b:2.398
ts:2026-02-10T08:30:31+01:00 t:10.54 h:89 b:2.398
ts:2026-02-10T09:00:31+01:00 t:10.53 h:89 b:2.395
ts:2026-02-10T09:30:31+01:00 t:10.55 h:89 b:2.395
ts:2026-02-10T10:00:26+01:00 t:10.53 h:88 b:2.408
ts:2026-02-10T10:30:27+01:00 t:10.52 h:88 b:2.408
ts:2026-02-10T11:00:33+01:00 t:10.55 h:88 b:2.394
ts:2026-02-10T11:30:27+01:00 t:10.59 h:88 b:2.389
ts:2026-02-10T12:00:29+01:00 t:10.60 h:88 b:2.389
ts:2026-02-10T12:30:27+01:00 t:10.66 h:88 b:2.391
ts:2026-02-10T13:00:32+01:00 t:10.70 h:89 b:2.391
ts:2026-02-10T13:30:28+01:00 t:10.73 h:89 b:2.391
ts:2026-02-10T14:00:27+01:00 t:10.75 h:89 b:2.391
ts:2026-02-10T14:30:32+01:00 t:10.79 h:89 b:2.389
ts:2026-02-10T15:00:30+01:00 t:10.82 h:89 b:2.389
ts:2026-02-10T15:30:26+01:00 t:10.83 h:89 b:2.389
ts:2026-02-10T16:00:32+01:00 t:10.83 h:90 b:2.389
ts:2026-02-10T16:30:33+01:00 t:10.83 h:90 b:2.390
ts:2026-02-10T17:00:26+01:00 t:10.83 h:90 b:2.390
ts:2026-02-10T17:30:31+01:00 t:10.85 h:90 b:2.387
ts:2026-02-10T18:00:29+01:00 t:10.87 h:90 b:2.387
ts:2026-02-10T18:30:28+01:00 t:10.85 h:90 b:2.424
ts:2026-02-10T19:00:33+01:00 t:10.88 h:90 b:2.424
ts:2026-02-10T19:30:29+01:00 t:10.85 h:90 b:2.385
ts:2026-02-10T20:00:27+01:00 t:10.86 h:90 b:2.385
ts:2026-02-10T20:30:32+01:00 t:10.89 h:90 b:2.387
ts:2026-02-10T21:00:27+01:00 t:10.86 h:90 b:2.387
ts:2026-02-10T21:30:26+01:00 t:10.86 h:90 b:2.423
ts:2026-02-10T22:00:29+01:00 t:10.85 h:90 b:2.423
ts:2026-02-10T22:30:29+01:00 t:10.87 h:91 b:2.398
ts:2026-02-10T23:00:28+01:00 t:10.88 h:91 b:2.398
ts:2026-02-10T23:30:30+01:00 t:10.86 h:91 b:2.384
ts:2026-02-11T00:00:27+01:00 t:10.85 h:91 b:2.384
ts:2026-02-11T00:30:31+01:00 t:10.87 h:91 b:2.380
ts:2026-02-11T01:00:27+01:00 t:10.87 h:91 b:2.380
ts:2026-02-11T01:30:28+01:00 t:10.84 h:91 b:2.382
ts:2026-02-11T02:00:33+01:00 t:10.85 h:91 b:2.382
ts:2026-02-11T02:30:32+01:00 t:10.85 h:91 b:2.382
ts:2026-02-11T03:00:32+01:00 t:10.86 h:91 b:2.382
ts:2026-02-11T03:30:29+01:00 t:10.84 h:91 b:2.382
ts:2026-02-11T04:00:28+01:00 t:10.84 h:91 b:2.382
ts:2026-02-11T04:30:31+01:00 t:10.85 h:91 b:2.394
ts:2026-02-11T05:00:28+01:00 t:10.85 h:91 b:2.394
ts:2026-02-11T05:30:27+01:00 t:10.84 h:91 b:2.394
ts:2026-02-11T06:00:32+01:00 t:10.85 h:91 b:2.394
ts:2026-02-11T06:30:30+01:00 t:10.86 h:91 b:2.383
ts:2026-02-11T07:00:28+01:00 t:10.85 h:91 b:2.383
ts:2026-02-11T07:30:28+01:00 t:10.85 h:91 b:2.382
ts:2026-02-11T08:00:32+01:00 t:10.85 h:91 b:2.382
ts:2026-02-11T08:30:33+01:00 t:10.86 h:91 b:2.384
ts:2026-02-11T09:00:28+01:00 t:10.86 h:91 b:2.384
